sender,receiver,value
Canada,Kyrgyz Republic,6
Canada,Hungary,254
Canada,Brazil,65
Canada,Luxembourg,20
Canada,Ireland,26
Canada,Ecuador,37
Canada,Czech Republic,141
Canada,Australia,77
Canada,Algeria,59
Canada,El Salvador,150
Canada,Belgium,517
Canada,Haiti,131
Canada,Georgia,2
Canada,Denmark,94
Canada,Philippines,2032
Canada,Moldova,18
Canada,Morocco,108
Canada,Croatia,84
Canada,Thailand,61
Canada,Switzerland,178
Canada,Portugal,309
Canada,Mexico,111
Canada,Lebanon,1003
Canada,Spain,89
Canada,Colombia,95
Canada,Yemen. Rep.,2
Canada,Italy,718
Canada,Sudan,26
Canada,Nepal,28
Canada,Netherlands,231
Canada,Israel,33
Canada,Indonesia,49
Canada,Senegal,9
Canada,Korea. Rep.,606
Canada,Germany,767
Canada,Poland,440
Canada,Sri Lanka,444
Canada,Honduras,31
Canada,Tunisia,30
Canada,Nicaragua,17
Canada,United Kingdom,1208
Canada,Greece,44
Chad,Cameroon,11
Chad,Nigeria,1391
Chad,Sudan,30
Colombia,Argentina,1
Colombia,Bolivia,1
Colombia,Japan,2
Colombia,Guatemala,1
Colombia,Jordan,1
Colombia,India,1
Colombia,France,18
Colombia,Peru,9
Colombia,China,9
Colombia,Dominican Republic,1
Colombia,United States,28
Colombia,Venezuela. RB,8
Colombia,Austria,1
Colombia,Brazil,6
Colombia,Ecuador,22
Colombia,Australia,1
Colombia,El Salvador,1
Colombia,Belgium,8
Colombia,Switzerland,4
Colombia,Mexico,4
Colombia,Lebanon,9
Colombia,Spain,39
Colombia,Italy,5
Colombia,Netherlands,1
Colombia,Korea. Rep.,1
Colombia,Germany,7
Colombia,Honduras,1
Colombia,Nicaragua,1
Colombia,United Kingdom,2
Croatia,Bosnia and Herzegovina,625
Croatia,France,5
Croatia,Sweden,1
Croatia,United States,2
Croatia,Austria,9
Croatia,Australia,3
Croatia,Switzerland,7
Croatia,Italy,4
Croatia,Germany,37
Czech Republic,Lithuania,1
Czech Republic,Japan,1
Czech Republic,Bosnia and Herzegovina,2
Czech Republic,Russian Federation,6
Czech Republic,Jordan,1
Czech Republic,Vietnam,57
Czech Republic,Slovak Republic,881
Czech Republic,India,1
Czech Republic,France,41
Czech Republic,Syrian Arab Republic,1
Czech Republic,Nigeria,2
Czech Republic,Egypt. Arab Rep.,1
Czech Republic,China,8
Czech Republic,Armenia,2
Czech Republic,Ukraine,35
Czech Republic,Bulgaria,5
Czech Republic,United States,4
Czech Republic,Romania,15
Czech Republic,Austria,36
Czech Republic,Kyrgyz Republic,1
Czech Republic,Hungary,28
Czech Republic,Australia,1
Czech Republic,Belgium,17
Czech Republic,Denmark,1
Czech Republic,Moldova,2
Czech Republic,Croatia,3
Czech Republic,Switzerland,3
Czech Republic,Lebanon,2
Czech Republic,Spain,1
Czech Republic,Italy,2
Czech Republic,Netherlands,1
Czech Republic,Germany,37
Czech Republic,Poland,52
Czech Republic,Tunisia,1
Czech Republic,United Kingdom,3
Czech Republic,Greece,1
Denmark,Lithuania,15
Denmark,Argentina,1
Denmark,Japan,6
Denmark,Guatemala,1
Denmark,Bosnia and Herzegovina,31
Denmark,Russian Federation,3
Denmark,Jordan,8
Denmark,Pakistan,48
Denmark,Vietnam,52
Denmark,New Zealand,1
Denmark,Slovak Republic,2
Denmark,India,39
Denmark,Kenya,5
Denmark,Turkey,9
Denmark,Bangladesh,2
Denmark,France,63
Denmark,Syrian Arab Republic,6
Denmark,Peru,2
Denmark,Nigeria,23
Denmark,Norway,75
Denmark,Egypt. Arab Rep.,11
Denmark,China,70
Denmark,Armenia,1
Denmark,Ukraine,7
Denmark,Sweden,37
Denmark,Bulgaria,2
Denmark,United States,21
Denmark,Romania,6
Denmark,South Africa,2
Denmark,Austria,8
Denmark,Iran. Islamic Rep.,16
Denmark,Hungary,11
Denmark,Brazil,8
Denmark,Luxembourg,3
Denmark,Ireland,2
Denmark,Ecuador,1
Denmark,Czech Republic,4
Denmark,Australia,6
Denmark,Algeria,2
Denmark,Belgium,24
Denmark,Philippines,47
Denmark,Moldova,1
Denmark,Morocco,16
Denmark,Croatia,2
Denmark,Thailand,54
Denmark,Switzerland,13
Denmark,Portugal,2
Denmark,Mexico,1
Denmark,Lebanon,177
Denmark,Spain,30
Denmark,Colombia,6
Denmark,Italy,10
Denmark,Sudan,1
Denmark,Nepal,1
Denmark,Netherlands,12
Denmark,Israel,3
Denmark,Indonesia,3
Denmark,Korea. Rep.,57
Denmark,Germany,128
Denmark,Poland,53
Denmark,Sri Lanka,31
Denmark,Honduras,1
Denmark,Tunisia,3
Denmark,Serbia,4
Denmark,United Kingdom,26
Denmark,Greece,1
Dominican Republic,Argentina,2
Dominican Republic,Bolivia,1
Dominican Republic,Japan,7
Dominican Republic,Guatemala,3
Dominican Republic,Pakistan,1
Dominican Republic,Jamaica,1
Dominican Republic,India,2
Dominican Republic,France,42
Dominican Republic,Peru,6
Dominican Republic,Nigeria,1
Dominican Republic,China,16
Dominican Republic,Sweden,1
Dominican Republic,Bulgaria,1
Dominican Republic,United States,25
Dominican Republic,Venezuela. RB,5
Dominican Republic,Austria,7
Dominican Republic,Brazil,4
Dominican Republic,Luxembourg,1
Dominican Republic,Ecuador,3
Dominican Republic,El Salvador,1
Dominican Republic,Belgium,16
Dominican Republic,Haiti,259
Dominican Republic,Philippines,1
Dominican Republic,Switzerland,24
Dominican Republic,Mexico,4
Dominican Republic,Lebanon,11
Dominican Republic,Spain,80
Dominican Republic,Colombia,12
Dominican Republic,Italy,21
Dominican Republic,Netherlands,2
Dominican Republic,Korea. Rep.,4
Dominican Republic,Germany,29
Dominican Republic,Poland,1
Dominican Republic,Honduras,2
Dominican Republic,Nicaragua,1
Dominican Republic,United Kingdom,2
Ecuador,Argentina,4
Ecuador,Bolivia,3
Ecuador,Japan,3
Ecuador,Guatemala,2
Ecuador,Russian Federation,1
Ecuador,India,1
Ecuador,France,34
Ecuador,Peru,40
Ecuador,Nigeria,1
Ecuador,Norway,1
Ecuador,Egypt. Arab Rep.,1
Ecuador,China,23
Ecuador,Dominican Republic,1
Ecuador,Sweden,1
Ecuador,United States,68
Ecuador,Romania,1
Ecuador,Venezuela. RB,3
Ecuador,Austria,4
Ecuador,Hungary,1
Ecuador,Brazil,11
Ecuador,Luxembourg,1
Ecuador,Czech Republic,2
Ecuador,Australia,2
Ecuador,El Salvador,2
Ecuador,Belgium,26
Ecuador,Denmark,1
Ecuador,Philippines,1
Ecuador,Switzerland,21
Ecuador,Portugal,1
Ecuador,Mexico,5
Ecuador,Lebanon,6
Ecuador,Spain,75
Ecuador,Colombia,286
Ecuador,Italy,11
Ecuador,Netherlands,2
Ecuador,Israel,1
Ecuador,Korea. Rep.,6
Ecuador,Germany,23
Ecuador,Poland,1
Ecuador,Honduras,2
Ecuador,Nicaragua,1
Ecuador,United Kingdom,5
Egypt. Arab Rep.,Saudi Arabia,16
Egypt. Arab Rep.,Japan,1
Egypt. Arab Rep.,Russian Federation,1
Egypt. Arab Rep.,Jordan,31
Egypt. Arab Rep.,Pakistan,2
Egypt. Arab Rep.,Oman,1
Egypt. Arab Rep.,India,7
Egypt. Arab Rep.,Bangladesh,1
Egypt. Arab Rep.,France,19
Egypt. Arab Rep.,Nigeria,15
Egypt. Arab Rep.,China,6
Egypt. Arab Rep.,Sweden,1
Egypt. Arab Rep.,Malaysia,2
Egypt. Arab Rep.,Austria,1
Egypt. Arab Rep.,Australia,1
Egypt. Arab Rep.,Algeria,2
Egypt. Arab Rep.,Belgium,5
Egypt. Arab Rep.,Denmark,1
Egypt. Arab Rep.,Philippines,6
Egypt. Arab Rep.,Morocco,3
Egypt. Arab Rep.,Switzerland,2
Egypt. Arab Rep.,Lebanon,39
Egypt. Arab Rep.,Spain,2
Egypt. Arab Rep.,Italy,5
Egypt. Arab Rep.,Sudan,5
Egypt. Arab Rep.,Netherlands,1
Egypt. Arab Rep.,Indonesia,10
Egypt. Arab Rep.,Senegal,1
Egypt. Arab Rep.,Korea. Rep.,1
Egypt. Arab Rep.,Germany,9
El Salvador,Guatemala,32
El Salvador,France,2
El Salvador,China,1
El Salvador,United States,10
El Salvador,Brazil,1
El Salvador,Mexico,3
El Salvador,Spain,4
El Salvador,Colombia,1
El Salvador,Italy,1
El Salvador,Korea. Rep.,1
El Salvador,Germany,1
El Salvador,Honduras,38
El Salvador,Nicaragua,8
France,Lithuania,5
France,Argentina,7
France,Bolivia,2
France,Cameroon,33
France,Saudi Arabia,2
France,Japan,78
France,Hong Kong SAR. China,1
France,Guatemala,9
France,Bosnia and Herzegovina,19
France,Russian Federation,21
France,Jordan,6
France,Pakistan,71
France,Vietnam,431
France,Cambodia,51
France,New Zealand,2
France,Jamaica,1
France,Albania,2
France,Slovak Republic,17
France,India,229
France,Kenya,3
France,Turkey,66
France,Bangladesh,8
France,Syrian Arab Republic,41
France,Peru,20
France,Nigeria,74
France,Norway,13
France,Egypt. Arab Rep.,172
France,China,614
France,Armenia,27
France,Dominican Republic,1
France,Ukraine,17
France,Sweden,22
France,Bulgaria,20
France,United States,84
France,Romania,73
France,South Africa,5
France,Venezuela. RB,1
France,Malaysia,2
France,Austria,67
France,Iran. Islamic Rep.,26
France,Hungary,56
France,Brazil,104
France,Luxembourg,320
France,Ireland,6
France,Ecuador,4
France,Czech Republic,45
France,Australia,17
France,Algeria,1399
France,El Salvador,3
France,Belgium,3022
France,Haiti,71
France,Georgia,1
France,Denmark,29
France,Philippines,42
France,Moldova,2
France,Morocco,1946
France,Croatia,60
France,Thailand,86
France,Switzerland,526
France,Portugal,1334
France,Mexico,14
France,Lebanon,513
France,Spain,2688
France,Colombia,51
France,Yemen. Rep.,3
France,Italy,927
France,Sudan,3
France,Nepal,5
France,Netherlands,79
France,Israel,11
France,Indonesia,13
France,Senegal,290
France,Korea. Rep.,103
France,Germany,657
France,Poland,268
France,Sri Lanka,154
France,Honduras,3
France,Tunisia,1043
France,Nicaragua,1
France,Serbia,310
France,United Kingdom,305
France,Greece,7
Georgia,Russian Federation,51
Georgia,Pakistan,3
Georgia,India,2
Georgia,Azerbaijan,9
Georgia,Tajikistan,1
Georgia,Turkey,1
Georgia,China,3
Georgia,Armenia,24
Georgia,Ukraine,6
Georgia,Bulgaria,1
Georgia,United States,3
Georgia,Romania,1
Georgia,Italy,1
Georgia,Nepal,1
Georgia,Israel,1
Georgia,Germany,6
Georgia,United Kingdom,1
Georgia,Greece,1
Germany,Lithuania,60
Germany,Argentina,5
Germany,Bolivia,4
Germany,Cameroon,8
Germany,Saudi Arabia,2
Germany,Japan,170
Germany,Guatemala,6
Germany,Bosnia and Herzegovina,336
Germany,Russian Federation,150
Germany,Jordan,97
Germany,Pakistan,162
Germany,Vietnam,604
Germany,Cambodia,1
Germany,New Zealand,3
Germany,Jamaica,4
Germany,Albania,12
Germany,Slovak Republic,126
Germany,India,457
Germany,Azerbaijan,34
Germany,Kenya,26
Germany,Tajikistan,11
Germany,Turkey,607
Germany,Bangladesh,30
Germany,France,1910
Germany,Syrian Arab Republic,105
Germany,Peru,34
Germany,Nigeria,613
Germany,Norway,42
Germany,Egypt. Arab Rep.,132
Germany,China,899
Germany,Armenia,30
Germany,Dominican Republic,26
Germany,Ukraine,231
Germany,Sweden,62
Germany,Bulgaria,92
Germany,United States,297
Germany,Romania,184
Germany,South Africa,11
Germany,Venezuela. RB,1
Germany,Malaysia,4
Germany,Austria,1361
Germany,Iran. Islamic Rep.,93
Germany,Kyrgyz Republic,50
Germany,Hungary,426
Germany,Brazil,142
Germany,Luxembourg,444
Germany,Ireland,16
Germany,Ecuador,14
Germany,Czech Republic,300
Germany,Australia,51
Germany,Algeria,33
Germany,El Salvador,2
Germany,Belgium,792
Germany,Haiti,1
Germany,Georgia,22
Germany,Denmark,139
Germany,Philippines,204
Germany,Moldova,50
Germany,Morocco,259
Germany,Croatia,666
Germany,Thailand,329
Germany,Switzerland,455
Germany,Portugal,323
Germany,Mexico,27
Germany,Lebanon,707
Germany,Spain,1266
Germany,Colombia,30
Germany,Yemen. Rep.,4
Germany,Italy,1754
Germany,Sudan,11
Germany,Nepal,23
Germany,Netherlands,362
Germany,Israel,18
Germany,Indonesia,60
Germany,Senegal,13
Germany,Korea. Rep.,199
Germany,Kazakhstan,4
Germany,Poland,1362
Germany,Sri Lanka,173
Germany,Honduras,5
Germany,Tunisia,131
Germany,Nicaragua,2
Germany,United Kingdom,278
Germany,Greece,243
Greece,Lithuania,1
Greece,Japan,4
Greece,Bosnia and Herzegovina,1
Greece,Russian Federation,18
Greece,Jordan,5
Greece,Pakistan,73
Greece,Vietnam,1
Greece,Albania,478
Greece,Slovak Republic,2
Greece,India,33
Greece,Kenya,1
Greece,Turkey,1
Greece,Bangladesh,16
Greece,France,21
Greece,Syrian Arab Republic,24
Greece,Nigeria,63
Greece,Norway,3
Greece,Egypt. Arab Rep.,52
Greece,China,31
Greece,Armenia,15
Greece,Dominican Republic,1
Greece,Ukraine,26
Greece,Sweden,8
Greece,Bulgaria,63
Greece,United States,10
Greece,Romania,58
Greece,South Africa,3
Greece,Austria,12
Greece,Iran. Islamic Rep.,4
Greece,Hungary,1
Greece,Brazil,4
Greece,Luxembourg,6
Greece,Ireland,1
Greece,Czech Republic,7
Greece,Australia,7
Greece,Algeria,1
Greece,Belgium,19
Greece,Georgia,45
Greece,Denmark,8
Greece,Philippines,30
Greece,Moldova,18
Greece,Morocco,1
Greece,Croatia,1
Greece,Thailand,1
Greece,Switzerland,4
Greece,Mexico,1
Greece,Lebanon,41
Greece,Spain,1
Greece,Colombia,1
Greece,Italy,13
Greece,Sudan,2
Greece,Netherlands,8
Greece,Israel,1
Greece,Indonesia,1
Greece,Korea. Rep.,2
Greece,Germany,48
Greece,Poland,79
Greece,Sri Lanka,4
Greece,Tunisia,1
Greece,United Kingdom,25
Guatemala,France,2
Guatemala,Peru,1
Guatemala,China,3
Guatemala,United States,12
Guatemala,Brazil,1
Guatemala,El Salvador,33
Guatemala,Switzerland,1
Guatemala,Mexico,23
Guatemala,Spain,7
Guatemala,Colombia,2
Guatemala,Italy,1
Guatemala,Korea. Rep.,7
Guatemala,Germany,2
Guatemala,Honduras,21
Guatemala,Nicaragua,7
Haiti,Jamaica,1
Haiti,Dominican Republic,26
Haiti,United States,15
Honduras,Guatemala,10
Honduras,France,1
Honduras,Peru,1
Honduras,China,2
Honduras,United States,8
Honduras,Ecuador,1
Honduras,El Salvador,12
Honduras,Mexico,2
Honduras,Spain,2
Honduras,Colombia,1
Honduras,Germany,1
Honduras,Nicaragua,5
Hong Kong SAR. China,Macao SAR. China,88
Hong Kong SAR. China,China,17021
Hungary,Japan,1
Hungary,Jordan,1
Hungary,Vietnam,7
Hungary,Slovak Republic,9
Hungary,India,1
Hungary,France,38
Hungary,Syrian Arab Republic,2
Hungary,Nigeria,6
Hungary,Norway,3
Hungary,Egypt. Arab Rep.,2
Hungary,China,31
Hungary,Ukraine,5
Hungary,Sweden,3
Hungary,Bulgaria,2
Hungary,United States,8
Hungary,Romania,237
Hungary,Austria,32
Hungary,Brazil,1
Hungary,Luxembourg,2
Hungary,Czech Republic,3
Hungary,Australia,3
Hungary,Algeria,1
Hungary,Belgium,25
Hungary,Denmark,2
Hungary,Croatia,2
Hungary,Switzerland,13
Hungary,Lebanon,3
Hungary,Spain,4
Hungary,Italy,6
Hungary,Netherlands,3
Hungary,Israel,1
Hungary,Korea. Rep.,1
Hungary,Germany,101
Hungary,Poland,7
Hungary,United Kingdom,7
Hungary,Greece,1
India,Saudi Arabia,6
India,Japan,3
India,Pakistan,2189
India,Vietnam,2
India,Kenya,4
India,Bangladesh,6620
India,France,13
India,Nigeria,9
India,China,144
India,United States,5
India,Malaysia,9
India,Iran. Islamic Rep.,2
India,Australia,3
India,Nepal,1634
India,Indonesia,2
India,Germany,9
India,Sri Lanka,400
India,United Kingdom,9
Indonesia,China,432
Indonesia,United Kingdom,13
Iran. Islamic Rep.,Pakistan,44
Iran. Islamic Rep.,Azerbaijan,3
Iran. Islamic Rep.,Armenia,2
Ireland,Lithuania,122
Ireland,Saudi Arabia,1
Ireland,Japan,6
Ireland,Hong Kong SAR. China,1
Ireland,Guatemala,2
Ireland,Bosnia and Herzegovina,3
Ireland,Russian Federation,3
Ireland,Jordan,2
Ireland,Pakistan,28
Ireland,Vietnam,7
Ireland,New Zealand,5
Ireland,Jamaica,1
Ireland,Slovak Republic,38
Ireland,India,88
Ireland,Kenya,4
Ireland,Bangladesh,11
Ireland,France,151
Ireland,Syrian Arab Republic,1
Ireland,Peru,1
Ireland,Nigeria,608
Ireland,Norway,4
Ireland,Egypt. Arab Rep.,9
Ireland,China,115
Ireland,Ukraine,6
Ireland,Sweden,6
Ireland,Bulgaria,2
Ireland,United States,69
Ireland,Romania,17
Ireland,South Africa,15
Ireland,Malaysia,4
Ireland,Austria,4
Ireland,Iran. Islamic Rep.,1
Ireland,Hungary,23
Ireland,Brazil,25
Ireland,Luxembourg,5
Ireland,Czech Republic,42
Ireland,Australia,35
Ireland,Algeria,3
Ireland,Belgium,41
Ireland,Denmark,6
Ireland,Philippines,77
Ireland,Moldova,9
Ireland,Morocco,1
Ireland,Croatia,2
Ireland,Thailand,5
Ireland,Switzerland,15
Ireland,Portugal,4
Ireland,Mexico,1
Ireland,Lebanon,4
Ireland,Spain,67
Ireland,Colombia,1
Ireland,Italy,17
Ireland,Sudan,2
Ireland,Nepal,1
Ireland,Netherlands,11
Ireland,Israel,1
Ireland,Indonesia,1
Ireland,Korea. Rep.,2
Ireland,Germany,66
Ireland,Poland,203
Ireland,Sri Lanka,2
Ireland,Tunisia,1
Ireland,United Kingdom,702
Israel,Lithuania,57
Israel,Argentina,29
Israel,Russian Federation,342
